txt,target
This is just monkey business,0
Hope boris gets home safe,4
That’s a long way from Hull,4
Give him a duffle coat and a marmalade sandwich and name him Cambuslan...,4
He'll be doing a film with Van-Damme next,4
Sweet ,0
Imagine him/her sat watching the telly with ya and having a cuppa of P...,4
It wasn't lost it was trying to get away for a better life in England...,4
Marmosets shouldn't be kept as pets. They're wild animals and they thr...,4
@khanhlinhnemn gi?ng m thi?c s? =))),4
This monkey has a monkey family living in Scotland?,4
"Lucky he didn't end up in Hartlepool, you what they do with monkeys th.",4
Well pick up the bloody phone and get some details to add to repeating.,4
"You didn't provide much context to your headline, did you?",4
"You mean a 'Minkey, surely'.?",4
She was returned after she was recognised by security at Hollyrood,4
From Ibrox.,4
Yesterdays news if you can call it that,4
Should of gone to monkey world we campaign to stop wild animals in,4
